Tanggal,KOTA,Inflasi
2015-01-01,BANYUWANGI,0.08
2015-02-01,BANYUWANGI,-1.02
2015-03-01,BANYUWANGI,0.09
2015-04-01,BANYUWANGI,0.36
2015-05-01,BANYUWANGI,0.55
2015-06-01,BANYUWANGI,0.26
2015-07-01,BANYUWANGI,0.62
2015-08-01,BANYUWANGI,0.35
2015-09-01,BANYUWANGI,0.21
2015-10-01,BANYUWANGI,-0.25
2015-11-01,BANYUWANGI,0.08
2015-12-01,BANYUWANGI,0.8
2016-01-01,BANYUWANGI,0.67
2016-02-01,BANYUWANGI,0.12
2016-03-01,BANYUWANGI,0.03
2016-04-01,BANYUWANGI,-0.61
2016-05-01,BANYUWANGI,0.12
2016-06-01,BANYUWANGI,0.73
2016-07-01,BANYUWANGI,0.43
2016-08-01,BANYUWANGI,-0.14
2016-09-01,BANYUWANGI,0.02
2016-10-01,BANYUWANGI,-0.18
2016-11-01,BANYUWANGI,0.25
2016-12-01,BANYUWANGI,0.47
2017-01-01,BANYUWANGI,0.66
2017-02-01,BANYUWANGI,0.35
2017-03-01,BANYUWANGI,-0.2
2017-04-01,BANYUWANGI,0.48
2017-05-01,BANYUWANGI,0.33
2017-06-01,BANYUWANGI,0.47
2017-07-01,BANYUWANGI,0.15
2017-08-01,BANYUWANGI,-0.11
2017-09-01,BANYUWANGI,-0.02
2017-10-01,BANYUWANGI,0.09
2017-11-01,BANYUWANGI,0.33
2017-12-01,BANYUWANGI,0.6
2018-01-01,BANYUWANGI,0.7
2018-02-01,BANYUWANGI,0.17
2018-03-01,BANYUWANGI,0.12
2018-04-01,BANYUWANGI,0.04
2018-05-01,BANYUWANGI,0.13
2018-06-01,BANYUWANGI,0.5
2018-07-01,BANYUWANGI,0.03
2018-08-01,BANYUWANGI,-0.05
2018-09-01,BANYUWANGI,-0.49
2018-10-01,BANYUWANGI,0.09
2018-11-01,BANYUWANGI,0.26
2018-12-01,BANYUWANGI,0.55
2019-01-01,BANYUWANGI,0.39
2019-02-01,BANYUWANGI,-0.08
2019-03-01,BANYUWANGI,0.17
2019-04-01,BANYUWANGI,0.15
2019-05-01,BANYUWANGI,0.46
2019-06-01,BANYUWANGI,0.36
2019-07-01,BANYUWANGI,0.39
2019-08-01,BANYUWANGI,0.08
2019-09-01,BANYUWANGI,-0.05
2019-10-01,BANYUWANGI,-0.09
2019-11-01,BANYUWANGI,0.22
2019-12-01,BANYUWANGI,0.29
2020-01-01,BANYUWANGI,0.51
2020-02-01,BANYUWANGI,0.1
2020-03-01,BANYUWANGI,0.27
2020-04-01,BANYUWANGI,0.24
2020-05-01,BANYUWANGI,0.02
2020-06-01,BANYUWANGI,0.06
2020-07-01,BANYUWANGI,0.01
2020-08-01,BANYUWANGI,-0.01
2020-09-01,BANYUWANGI,-0.17
2020-10-01,BANYUWANGI,0.07
2020-11-01,BANYUWANGI,0.2
2020-12-01,BANYUWANGI,0.43
2021-01-01,BANYUWANGI,0.18
2021-02-01,BANYUWANGI,0.09
2021-03-01,BANYUWANGI,0.31
2021-04-01,BANYUWANGI,0.02
2021-05-01,BANYUWANGI,0.27
2021-06-01,BANYUWANGI,-0.3
2021-07-01,BANYUWANGI,0.23
2021-08-01,BANYUWANGI,-0.08
2021-09-01,BANYUWANGI,-0.16
2021-10-01,BANYUWANGI,0.02
2021-11-01,BANYUWANGI,0.28
2021-12-01,BANYUWANGI,0.72
2022-01-01,BANYUWANGI,0.4
2022-02-01,BANYUWANGI,-0.15
2022-03-01,BANYUWANGI,0.92
2022-04-01,BANYUWANGI,1.06
2022-05-01,BANYUWANGI,0.49
2022-06-01,BANYUWANGI,0.61
2022-07-01,BANYUWANGI,0.68
