order,seasonal_order,aic,bic,rmse,mae,ljungbox_pvalue,shapiro_pvalue
"(0, 1, 2)","(1, 0, 1, 12)",20.37334922045448,33.59530371616134,0.6393521799450447,0.46579695552610095,0.798092407480763,0.362375148329908
"(1, 1, 2)","(1, 0, 1, 12)",20.729757939893787,36.596103334742025,0.6382026596910788,0.4648604727152781,0.5941942085080731,0.07952337618318576
"(2, 1, 2)","(1, 0, 1, 12)",21.850661428023862,40.36139772201347,0.6300074727412772,0.4616771644704325,0.35086268957157696,0.237541565161754
"(0, 1, 1)","(1, 0, 1, 12)",22.881201551957357,33.49704295258745,0.6385223267076651,0.46553983264096316,0.7392075768480704,0.41819470104866324
"(1, 1, 1)","(1, 0, 1, 12)",24.17408802119192,37.443889771979535,0.638023980401385,0.4578093332188596,0.8433009935031973,0.02008399064832243
"(0, 0, 1)","(0, 1, 1, 12)",26.641994232324762,34.27187857913478,0.6056282647065419,0.4276443717875165,0.2194991424233268,0.00013693468120604276
"(1, 0, 1)","(0, 1, 1, 12)",26.74359093337193,36.916770062451945,0.5954859686613208,0.4266973870705539,0.6083194852093647,0.011010514700766583
"(2, 1, 1)","(1, 0, 1, 12)",26.860192457942848,42.783954558887984,0.6373757791549122,0.4580370209644908,0.7711067112351395,0.047771202660421154
"(1, 0, 0)","(0, 1, 1, 12)",27.018544657194163,34.680175331995784,0.6036289084368118,0.4265806377286807,0.5461460277380588,0.0003877859454191497
"(1, 1, 2)","(1, 0, 0, 12)",27.086071112553263,40.4032665831136,0.6203197584581067,0.46491019069380385,0.0761905631742452,0.002817520152878441
"(0, 1, 2)","(0, 0, 1, 12)",27.365375129657544,37.94293872622303,0.625546426884144,0.4614803194502928,0.15774301510278166,0.01951129853222772
"(0, 0, 2)","(0, 1, 1, 12)",27.72028499353803,37.850682966151055,0.6028958279240308,0.427190372248656,0.2971694696624538,0.00048795080060258
"(2, 0, 0)","(0, 1, 1, 12)",27.819778524075446,38.03528609047761,0.6022965652008874,0.42698690574315307,0.5169346138551814,0.0006423076082984621
"(2, 1, 2)","(1, 0, 0, 12)",28.228770187858952,44.152532288804096,0.6254101504756993,0.4669218667540101,0.08056474667460552,0.0011649454873350299
"(1, 1, 1)","(1, 0, 0, 12)",28.242198117527813,38.89595449397608,0.6223952242321196,0.46669056398660747,0.4499504395370074,0.021426631009020924
"(1, 1, 2)","(0, 0, 1, 12)",28.281405915165436,41.5033604108723,0.6186656778515067,0.45841345621809254,0.04455742729452534,0.006076744726187799
"(2, 1, 2)","(0, 0, 1, 12)",28.53142193237053,44.397767327218766,0.6225343491176621,0.4614378882941625,0.00871940961580491,0.000397709982739039
"(2, 0, 1)","(0, 1, 1, 12)",28.623532831423326,41.34000674277334,0.5946495175887259,0.4267223826563178,0.5777595538460678,0.008132378149454621
"(0, 0, 0)","(0, 1, 1, 12)",29.208210021248778,34.31596380444986,0.6009749122790752,0.4281217582079509,0.042441049873646115,0.0003378437315782267
"(1, 0, 2)","(0, 1, 1, 12)",29.30598830943242,41.9689857751987,0.6004781858998613,0.4278140633364556,0.5425221543903633,0.0014181183887106343
"(0, 1, 1)","(0, 1, 1, 12)",29.599782369660087,37.19758084911986,0.613815956756089,0.45981923064981767,0.562831526113792,0.3808482044502699
"(2, 0, 2)","(0, 1, 1, 12)",29.694863824900203,44.89046078381974,0.5973163396233865,0.42693044048196804,0.3591051171449182,0.009969932811785725
"(0, 1, 2)","(1, 0, 0, 12)",29.759531197720097,40.45084653556772,0.6239567905971695,0.46501767264874644,0.37354983344690024,0.01438239364204322
"(2, 1, 1)","(1, 0, 0, 12)",30.06903100354729,43.3388327543349,0.6232616481134269,0.4667011644311954,0.4409984004884513,0.02041034827825231
"(0, 1, 2)","(0, 1, 1, 12)",30.587679198963887,40.674833507160045,0.6159950763009316,0.45625248342126284,0.5923565984944552,0.14503693707234883
"(1, 1, 1)","(0, 0, 1, 12)",31.079774663583283,41.695616064213375,0.624331329182579,0.46190499015158326,0.2340546845846981,0.018008832435220647
"(0, 1, 1)","(1, 0, 0, 12)",31.126010371708386,39.144496875094106,0.6261486516797163,0.4742635350100097,0.23433493734230143,0.25793630515899885
"(1, 1, 1)","(0, 1, 1, 12)",31.160340399360585,41.29073837197361,0.6132722090984368,0.45334616432879504,0.6471958487539966,0.11043559501713385
"(2, 1, 1)","(0, 1, 1, 12)",32.12649719027956,44.78949465604584,0.6069511605167079,0.4391461477089762,0.4379077554668948,0.04849561364181984
"(1, 1, 2)","(0, 1, 1, 12)",32.83667560534781,45.44561849059301,0.6157315019949029,0.45747848575496947,0.4725800326675672,0.22589325556403478
"(2, 1, 1)","(0, 0, 1, 12)",32.976870780340604,46.24667253112822,0.6247340741529374,0.46182653925983513,0.2837482398160856,0.014346314325144022
"(2, 0, 0)","(1, 1, 1, 12)",33.15939929011982,45.87587320146984,0.5958818856069749,0.41833368771688817,0.6141152822359262,0.0030226719296437285
"(0, 1, 1)","(0, 0, 1, 12)",33.28102967766234,41.24291072813491,0.6162971722257461,0.45737137495176977,0.08594224784730495,0.006225061896856299
"(0, 0, 2)","(1, 1, 1, 12)",33.31850725297916,45.98150471874544,0.5982181877917033,0.41883456871281893,0.3839389510139027,0.001302568529625009
