order,seasonal_order,aic,bic,rmse,mae,ljungbox_pvalue,shapiro_pvalue
"(1, 0, 2)","(1, 0, 1, 12)",39.20568446932576,55.1294465702709,0.5637088503264235,0.45243645361337265,0.7365492066669732,0.010489079586222414
"(1, 1, 2)","(1, 0, 1, 12)",39.84975251709345,55.71609791194169,0.5715220735280464,0.4557537489723566,0.6457081830612448,0.02919323521789826
"(0, 1, 2)","(1, 0, 1, 12)",40.096062417506566,53.31801691321343,0.5728754856864967,0.4565792432005726,0.864173985485063,0.01167299090485251
"(0, 1, 1)","(1, 0, 1, 12)",41.047216596937794,51.66305799756789,0.5705984307681913,0.4555943435955914,0.8781491586790267,0.01048256123441082
"(2, 0, 2)","(1, 0, 1, 12)",41.078752004707354,59.65647445581001,0.5660595866947944,0.45387074341342504,0.7385565007795496,0.011577229330063152
"(2, 1, 2)","(1, 0, 1, 12)",41.72175267933846,60.23248897332807,0.5694486209554492,0.45462631681963783,0.5972426043752614,0.02856706354632339
"(1, 0, 1)","(1, 0, 1, 12)",41.76062958416525,55.07782505472559,0.572743206586698,0.45965373976007173,0.8896714386567168,0.006538716121894469
"(1, 1, 1)","(1, 0, 1, 12)",42.05576940542932,55.32557115621693,0.5718322576260169,0.45527910908097863,0.9135248151487438,0.0030535689860807028
"(0, 0, 1)","(0, 1, 1, 12)",42.1039778513058,49.733862198115816,0.5350805752521213,0.41750723861562916,0.29903632923218654,0.003046811871905277
"(1, 0, 1)","(0, 1, 1, 12)",42.296477843078286,52.469656972158305,0.5187184470754124,0.41035466643800383,0.6014208660808686,0.017216603044344355
"(2, 1, 1)","(1, 0, 1, 12)",42.51566604240601,58.43942814335115,0.5664465318251,0.4522314469349042,0.7831443290766349,0.013925096253528179
"(0, 0, 1)","(1, 0, 1, 12)",42.54126053008613,53.19501690653439,0.5591883940100612,0.4472379169173428,0.7039501299609942,0.0010211364715904893
"(2, 0, 2)","(0, 1, 1, 12)",43.13139506239784,58.32699202131738,0.519284950213619,0.41077441691779,0.33458389260182425,0.016369285043888678
"(2, 0, 0)","(1, 0, 1, 12)",43.39279035785214,56.70998582841248,0.563974881059969,0.45181832491155677,0.8662965514748503,0.001809075795707001
"(2, 0, 1)","(1, 0, 1, 12)",43.5042752992881,59.4849098639605,0.5767560103543388,0.4629871539915486,0.8872900621416125,0.0040329136261593335
"(0, 0, 2)","(0, 1, 1, 12)",43.730206835545474,53.8606048081585,0.5277154451098767,0.4136398549945322,0.4154180004165403,0.005835904317351945
"(0, 0, 2)","(1, 0, 1, 12)",43.74309595935321,57.01289771014083,0.5597964123210192,0.44849112398406316,0.7834189599919475,0.0017700570240787843
"(0, 1, 1)","(0, 1, 1, 12)",43.93060229062557,51.52840077008534,0.5434364680306804,0.450518280297821,0.6150685418716186,0.03410702551291652
"(2, 0, 1)","(0, 1, 1, 12)",44.12791756630189,56.84439147765191,0.5167933575433479,0.4094090457885962,0.5175807849880836,0.026346366168719687
"(1, 0, 2)","(0, 1, 1, 12)",44.2770940693519,56.94009153511818,0.5220684911111166,0.4143952814593567,0.27478653891398225,0.06566780093631115
"(1, 0, 0)","(1, 0, 1, 12)",44.313654017597905,55.004969355445525,0.565162419629531,0.45338455675639794,0.9097830301111299,0.0008621327421473769
"(0, 1, 2)","(0, 1, 1, 12)",44.3408086027119,54.427962910908064,0.5445189468122951,0.4493259610967697,0.44014835367221994,0.07825048289205877
"(2, 0, 0)","(0, 1, 1, 12)",44.47658189441105,54.69208946081321,0.5287447756784898,0.41398873510272566,0.469002635422617,0.0069213001153808195
"(1, 1, 2)","(0, 1, 1, 12)",45.49265115860724,58.101594043852444,0.5458500450014377,0.45142402420102856,0.5414160016927909,0.066444390075168
"(1, 0, 0)","(0, 1, 1, 12)",45.497653548696185,53.15928422349781,0.527920304340249,0.41357010494735813,0.6488912230871007,0.00414525161122252
"(1, 1, 1)","(1, 0, 0, 12)",45.83389735472479,56.487653731173054,0.5627466123719727,0.45190524641850466,0.70215844199337,0.0009428206506889539
"(1, 1, 1)","(0, 1, 1, 12)",45.92086394358346,56.05126191619649,0.5432244079478925,0.4500197622412741,0.6310101351466189,0.031051514263661567
"(2, 0, 1)","(1, 1, 1, 12)",46.18907953225953,61.44884822587955,0.5163756486368623,0.40874279699368105,0.5209367139877485,0.024984665178676493
"(0, 0, 0)","(0, 1, 1, 12)",46.94564167941497,52.05339546261605,0.5264339069203869,0.4135340475295912,0.09386724443234382,0.003556800208530764
"(0, 1, 2)","(1, 0, 0, 12)",47.14694025119823,57.83825558904586,0.5631130482734147,0.45114749312081925,0.6986660621294629,0.0010865255500856126
"(2, 1, 2)","(0, 1, 1, 12)",47.4038592290622,62.53459069135644,0.5500117209644325,0.4548762559073591,0.5442933748385699,0.08599093600910543
"(1, 1, 2)","(1, 0, 0, 12)",47.51123606295167,60.828431533512,0.5638826720959177,0.4518071709041662,0.695735850630467,0.0010693045426449792
"(2, 1, 1)","(0, 1, 1, 12)",47.801205746734034,60.464203212500315,0.5447413183129766,0.4495605282877524,0.42155680873688617,0.09291071062216336
"(2, 0, 1)","(1, 0, 0, 12)",48.05230966059573,61.36950513115607,0.5786153742472847,0.47402822834933295,0.6644567631043548,0.03223916999686764
"(2, 1, 1)","(1, 0, 0, 12)",48.29676446146434,61.566566212251956,0.5632932592651894,0.45195971639774185,0.6857687031912654,0.00124342950586535
"(0, 1, 2)","(0, 0, 1, 12)",48.49098116791082,59.06854476447631,0.5655323579073983,0.4484008464741667,0.4863328484400785,0.003476456410727403
"(1, 0, 1)","(1, 0, 0, 12)",48.575809912075336,59.267125249922955,0.5769369433219157,0.47310686127618906,0.6120001014364385,0.050569749643749835
"(0, 0, 0)","(1, 0, 1, 12)",48.870656610179985,56.8891431135657,0.5470362801042612,0.43971902267230084,0.2007999812021234,0.001394543713834023
"(0, 0, 1)","(1, 1, 1, 12)",48.87377894608977,59.04695807516978,0.521674474762836,0.4059370270060115,0.3036890846395463,0.0036142840320243412
"(0, 1, 1)","(1, 0, 0, 12)",48.92909414477781,56.94758064816352,0.5693676624499817,0.45993101819470783,0.586271725649308,0.025495528464041236
"(1, 0, 2)","(1, 0, 0, 12)",49.00164293782626,62.36578711013579,0.5657281000530372,0.4553255237696035,0.707048007797846,0.0009739650366345599
"(2, 1, 2)","(1, 0, 0, 12)",49.59214018432689,65.51590228527203,0.5619869503747271,0.4513249352800202,0.7150722259676812,0.0010684331695192035
"(2, 0, 2)","(1, 0, 0, 12)",49.66319070516494,65.64382526983735,0.5643153076752581,0.4536972222322364,0.7105575116751812,0.000997660508632885
"(0, 0, 2)","(1, 1, 1, 12)",49.688975260696076,62.35197272646236,0.5141058584447059,0.40091674721341436,0.481465214769759,0.0054020087753428045
"(2, 0, 0)","(1, 1, 1, 12)",49.70230963965417,62.41878355100418,0.5127450945637673,0.4010155231018593,0.5077559783226602,0.011334542946479951
"(1, 1, 1)","(0, 0, 1, 12)",49.74422164718784,60.36006304781793,0.566093090548743,0.44912827040836917,0.543756854989405,0.002755912442429922
"(2, 0, 2)","(1, 1, 1, 12)",49.861191228079996,67.58938768015278,0.4962622168421577,0.3927711565086796,0.30533389873826117,0.07558325155591343
"(1, 0, 0)","(1, 1, 1, 12)",49.877549693904484,60.09305726030665,0.5213238646027165,0.40655164595896626,0.5077902390753313,0.004046766957263357
"(1, 0, 2)","(1, 1, 1, 12)",50.31410899345796,65.50970595237749,0.5068203378491557,0.4012086371345824,0.34259146597035917,0.01912154871228574
"(0, 0, 0)","(1, 1, 1, 12)",50.35315091555723,58.01478159035885,0.5226950537370825,0.4082028223348189,0.0631871733059738,0.003507086523784583
"(1, 1, 2)","(0, 0, 1, 12)",50.44307598702211,63.66503048272897,0.5662224036160302,0.448813082790461,0.459093646848297,0.0033184920501564755
"(1, 0, 2)","(0, 0, 1, 12)",51.156151778378565,64.42595352916618,0.5666977579230644,0.450456299281701,0.48544416498332665,0.0034042124693404543
"(1, 0, 0)","(1, 0, 0, 12)",51.328922368313265,59.34740887169898,0.5850491263078561,0.48068753788006835,0.3891937673999188,0.0017234324004847604
"(2, 0, 0)","(1, 0, 0, 12)",51.72843155764354,62.3821879340918,0.5853250957880417,0.4819092959636138,0.40366581078801317,0.018663834924400387
"(2, 1, 1)","(0, 0, 1, 12)",51.73131378470626,65.00111553549388,0.5663508044783621,0.4492958164868947,0.5351867279954574,0.0025010757742226658
"(1, 0, 1)","(1, 1, 1, 12)",51.90028907822923,64.61676298957924,0.5105908302164771,0.40252205970334226,0.5340454695309345,0.0043532829831917355
"(0, 1, 1)","(1, 1, 1, 12)",51.95449432446653,62.084892297079556,0.5417149916432874,0.4508169476233863,0.5276325371331643,0.09932879137434662
"(2, 0, 1)","(0, 0, 1, 12)",52.02152510468529,65.33872057524562,0.5663728243262904,0.44965646197896336,0.5512326142539674,0.0027273588517387586
"(2, 1, 2)","(0, 0, 1, 12)",52.467663522850465,68.3340089176987,0.5665410993701022,0.44873236019793117,0.22371418585496544,0.0028121175568185264
"(0, 1, 1)","(0, 0, 1, 12)",52.60216183918895,60.56404288966152,0.565652841236483,0.452081071765984,0.49043888360522747,0.03462969995259126
"(2, 1, 2)","(1, 1, 1, 12)",53.01374537872966,70.66626541807294,0.4703794654623188,0.3713991631899252,0.29500760597421155,0.30977646620028154
"(2, 0, 2)","(0, 0, 1, 12)",53.13936198760769,69.06312408855283,0.567344869180262,0.4509931750472144,0.47267516950693544,0.0032945975254147506
"(0, 1, 2)","(0, 0, 0, 12)",53.25044385256992,61.511214425889015,0.5941690769392547,0.4587555717413235,0.08142930211685306,0.0059958630108056235
"(1, 0, 1)","(0, 0, 1, 12)",53.524396795541165,64.17815317198944,0.5761912774979374,0.46833984689314573,0.37804485067141425,0.10748927098681305
"(0, 1, 2)","(1, 1, 1, 12)",53.70182181316567,66.31076469841088,0.5419980901741284,0.4513630638980073,0.4995505996436266,0.11006818506402605
"(1, 1, 1)","(1, 1, 1, 12)",53.84838551061577,66.51138297638205,0.5420712921327863,0.45165611827488666,0.5069389186570443,0.126848452150637
"(1, 1, 2)","(1, 1, 1, 12)",54.83744563895857,69.96817710125282,0.5452122441637782,0.45532780648375343,0.31318723252434266,0.09613342658944908
"(1, 1, 1)","(0, 0, 0, 12)",54.92404554598604,63.21056735037931,0.5957072166086228,0.46094887589537864,0.11132302847129256,0.008691397817070503
"(1, 0, 2)","(0, 0, 0, 12)",55.025515737213354,66.07421147640437,0.5958438992363913,0.4633448591783503,0.08207151727986849,0.006000183983592001
"(1, 1, 2)","(0, 0, 0, 12)",55.24371155966562,66.25807232409107,0.5943093085916726,0.4588277377069932,0.08130201552434867,0.0053514657807971775
"(2, 1, 1)","(0, 0, 0, 12)",55.52890587418106,66.57760161337208,0.5945191639405228,0.45865140585308506,0.10957603033194946,0.0012260125909031776
"(2, 1, 2)","(0, 0, 0, 12)",55.59129213947583,69.35924309500766,0.59534600159988,0.4603846101110948,0.05820379532395012,0.011580213241725295
"(2, 1, 1)","(1, 1, 1, 12)",55.72272311438765,70.91832007330719,0.5420990569157993,0.45175792311564167,0.5326868567745879,0.06527907669231993
"(2, 1, 0)","(1, 0, 1, 12)",55.85540509252449,69.1252068433121,0.5512760674020201,0.4300300181550452,0.09138323666312893,0.10620969830731536
"(0, 0, 1)","(1, 0, 0, 12)",56.27322275815228,64.31961643952494,0.5778285604284578,0.47366923434390346,0.3689937214438984,0.002507704343968483
"(0, 0, 2)","(1, 0, 0, 12)",56.53752284762378,67.26604775612066,0.5850331504516031,0.4795402497279981,0.47961718129800046,0.005274737553707612
"(2, 0, 2)","(0, 0, 0, 12)",56.99742748549177,70.80829715948056,0.5962247976163229,0.4637693175957245,0.0818047068004944,0.00502389794238184
"(2, 0, 2)","(1, 1, 0, 12)",57.52411235305234,72.78388104667236,0.5202653416556212,0.4298922275272883,0.7435465218645549,0.08543128813287983
"(2, 0, 0)","(1, 1, 0, 12)",58.29685392621077,68.47003305529078,0.5267822065403717,0.4355187306765263,0.573926126892123,0.012112984327508902
"(1, 0, 1)","(1, 1, 0, 12)",58.39233332561756,68.60784089201972,0.526645420091738,0.4349449206676002,0.6984783074779288,0.00369096376986773
"(1, 0, 2)","(1, 1, 0, 12)",58.95775736215468,71.72714182015739,0.524967470418127,0.4331373896857242,0.606478425719885,0.005924688735079205
"(2, 0, 1)","(1, 1, 0, 12)",59.336520269047554,72.05299418039758,0.5263611362335291,0.4350257137746765,0.6047609648159606,0.008775525020773202
"(0, 0, 0)","(1, 0, 0, 12)",60.15558845641797,65.5198509106664,0.565306474032688,0.4603174150595622,0.04997157165362303,0.010697742679392601
"(2, 0, 0)","(0, 0, 1, 12)",60.76153706567914,71.45285240352676,0.6026127964752264,0.4997263565505607,0.13529339830074172,0.06424527690956376
"(1, 0, 0)","(1, 1, 0, 12)",60.87646007652438,68.538090751326,0.5294457726049466,0.43753886505384426,0.4127089646246176,0.006205081811344718
"(1, 0, 0)","(0, 0, 1, 12)",61.26655284591991,69.28503934930563,0.6083799005121706,0.502507689747883,0.26515840203174623,0.005164004166160726
"(0, 1, 1)","(0, 0, 0, 12)",61.475088115997174,66.99943598559268,0.5893822389430595,0.4561318276763477,0.006050891933899398,0.012588755653853924
"(2, 1, 0)","(0, 1, 1, 12)",62.016333424527495,72.18951255360751,0.5211727115822815,0.42847870233850344,0.03373437364272854,0.2315365194430279
"(2, 0, 1)","(0, 0, 0, 12)",62.48961232713807,73.57235082500073,0.5954932849123978,0.46158144216929986,0.10591578898702388,0.009164715981967265
"(2, 1, 1)","(1, 1, 0, 12)",62.83453652599129,75.49753399175756,0.578799052959308,0.48190395762583504,0.6534162122544851,0.34002212566976664
"(2, 1, 0)","(1, 0, 0, 12)",63.85094511830979,74.46678651893988,0.5368061049629869,0.4283174505174592,0.026986923903459994,0.5748390635265532
"(2, 1, 2)","(1, 1, 0, 12)",64.5134374859617,79.70903444488124,0.5507291298777468,0.45578439447818225,0.5735137940410602,0.4325080348136107
"(0, 0, 2)","(0, 0, 1, 12)",64.68778465635185,75.30362605698194,0.6079499038555736,0.49952866970804416,0.42476510373839416,0.010117317915967861
"(0, 0, 1)","(0, 0, 1, 12)",66.1723607410492,74.1626780233854,0.5951090858593715,0.4885586476767882,0.4942263196796166,0.004514240990547597
"(2, 1, 0)","(1, 1, 1, 12)",66.73792782953537,79.40092529530165,0.52071928840945,0.43066873800902616,0.058348313914332595,0.1389663344427325
"(0, 1, 1)","(1, 1, 0, 12)",67.13532127532281,74.79695195012444,0.5869572988279048,0.4906463969916079,0.6019640712006589,0.38678646494982044
"(1, 0, 1)","(0, 0, 0, 12)",67.40773116738346,75.71978504078045,0.5892815613002962,0.4557571492223779,0.006042348773271734,0.012543765619717442
"(2, 0, 2)","(0, 1, 0, 12)",67.54018020081384,80.80998195160146,0.47940865479658573,0.37582191654187164,0.10035224808495047,0.6242195667697094
"(0, 0, 1)","(1, 1, 0, 12)",67.73240802500109,75.42545259940461,0.5302080241801999,0.4368542298096218,0.20104501185749735,0.006060277646347781
"(0, 0, 0)","(1, 1, 0, 12)",68.10892670797061,73.23762309090628,0.5297122693563172,0.4358539665104986,0.019458920643071014,0.004417370735535417
"(0, 0, 2)","(1, 1, 0, 12)",68.408416939496,78.66580970536735,0.528351590335963,0.4351751137081316,0.3858077001906149,0.00884604775862758
"(1, 1, 1)","(1, 1, 0, 12)",68.51358091744711,78.68676004652714,0.5843761723031429,0.48739696829803103,0.611929265591505,0.39397742538884756
"(0, 1, 2)","(1, 1, 0, 12)",68.79461847900177,79.01012604540394,0.5827391477914113,0.48553788748427246,0.5962744447951578,0.35369407531189273
"(2, 1, 0)","(1, 1, 0, 12)",69.25453617535305,79.38493414796608,0.5389711145144975,0.44615664505242697,0.11601115490047131,0.3969430240383953
"(1, 1, 2)","(1, 1, 0, 12)",70.23005432619445,82.94652823754446,0.574609104785025,0.47596525078460067,0.5374159679926027,0.5453683497891364
"(2, 1, 0)","(0, 0, 1, 12)",70.62457396674112,81.2783303431894,0.5429239921623382,0.4238294896152537,0.002039633522517277,0.7349544248141463
"(1, 1, 0)","(1, 0, 1, 12)",72.70782542382466,83.36158180027293,0.5567939408868293,0.43312294602786244,0.04049909215773376,0.03973999151355045
"(1, 1, 0)","(1, 0, 0, 12)",73.4882296849752,81.47854696731139,0.5549824345506792,0.43294793451412983,0.009732895490626321,0.4827359797066507
"(2, 0, 0)","(0, 0, 0, 12)",74.53259674528744,82.84465061868443,0.6454068663496374,0.535404220299777,0.0006159458891845016,0.1521684739462344
