order,seasonal_order,aic,bic,rmse,mae,ljungbox_pvalue,shapiro_pvalue
"(0, 1, 1)","(1, 0, 1, 12)",47.62911391778989,58.24495531841998,0.5854420414715488,0.45205086595679117,0.6554881744561183,0.0002739069789262649
"(1, 1, 1)","(1, 0, 1, 12)",49.12840569201323,62.398207442800846,0.5907521540602552,0.45217724152989436,0.6094710019330272,0.0001487570203660553
"(0, 1, 2)","(1, 0, 1, 12)",49.38856969678375,62.61052419249061,0.5925397759703517,0.4537990281238255,0.5848464271308107,0.0001264364630699199
"(1, 1, 2)","(1, 0, 1, 12)",49.81488866782574,65.68123406267398,0.5910214646935958,0.45379772131846297,0.5605846882076222,3.873641125349248e-05
"(2, 1, 1)","(1, 0, 1, 12)",49.9462916492575,65.87005375020264,0.5812180243855632,0.45114015831438103,0.6489909234900357,0.00032012475240833185
"(2, 1, 2)","(1, 0, 1, 12)",51.14321004315441,69.65394633714402,0.5839153818999043,0.45201811548730514,0.6904132052360689,0.00015126240925341896
"(0, 0, 1)","(0, 1, 1, 12)",55.84690874198612,63.47679308879613,0.5101996740198622,0.3985345959831548,0.2348135233525699,0.00013468586992583122
"(1, 0, 0)","(0, 1, 1, 12)",56.626353609142456,64.28798428394407,0.5025218269277492,0.393931378499998,0.43331477175948363,0.00013294101258323233
"(1, 0, 2)","(0, 1, 1, 12)",56.78330022342929,69.44629768919557,0.49997092400366044,0.3903489544301273,0.25473226164772816,0.00018517671158498438
"(1, 0, 1)","(0, 1, 1, 12)",56.85031153640729,67.0234906654873,0.49181971819582004,0.385023239247862,0.4852154434548053,0.00017029953714374867
"(0, 1, 1)","(0, 1, 1, 12)",57.617015722748356,65.21481420220812,0.5285991195135624,0.4284585980050293,0.348656306976008,0.010337071812278515
"(0, 0, 2)","(0, 1, 1, 12)",57.657131636805325,67.78752960941836,0.5066513360823783,0.39648484944862067,0.2660362063056166,0.00019050070222296513
"(2, 0, 0)","(0, 1, 1, 12)",57.940826146715835,68.156333713118,0.5054563955220727,0.39576314063457363,0.34041884533149597,0.00010743752418001853
"(0, 1, 2)","(0, 1, 1, 12)",58.3194098017946,68.40656410999077,0.5299796116412748,0.42551737870709666,0.17843467965311902,0.006119287770454978
"(2, 0, 2)","(0, 1, 1, 12)",58.695321705041266,73.8909186639608,0.49997104510630014,0.39036685060163373,0.2999101341781883,0.00012817251832439655
"(1, 1, 1)","(0, 1, 1, 12)",59.34793887234835,69.47833684496138,0.5276888921414459,0.42486714489303407,0.28738339874120744,0.007028084569373277
"(0, 0, 0)","(0, 1, 1, 12)",59.43195108065178,64.53970486385286,0.5022233191304712,0.3935493405014278,0.06229120674138958,0.00028919217114703775
"(2, 1, 1)","(0, 1, 1, 12)",59.62808955639771,72.29108702216399,0.5336280856252906,0.4312526316360681,0.18014301824896609,0.0073121326131539285
"(2, 0, 1)","(0, 1, 1, 12)",60.25360493305529,72.97007884440531,0.5040142577937675,0.39488016937407516,0.39556472019679695,8.752039411336925e-05
"(1, 1, 2)","(0, 1, 1, 12)",60.2927995036725,72.9017423889177,0.5302197275519476,0.42570590652395973,0.19455650409245903,0.004688717702877524
"(1, 1, 1)","(1, 0, 0, 12)",60.38744304699534,71.0411994234436,0.5333730214098534,0.41189228339441647,0.7227548712360241,1.9409966812875667e-06
"(1, 1, 2)","(1, 0, 0, 12)",60.96213974632679,74.27933521688712,0.5377468981267867,0.41461016497400077,0.6780138825871819,1.9939308116590934e-06
"(0, 1, 1)","(1, 0, 0, 12)",61.31910059899811,69.33758710238382,0.5415823671860679,0.4363997342133359,0.646986459234624,5.953352847108832e-05
"(2, 1, 2)","(0, 1, 1, 12)",61.333274146044445,76.46400560833868,0.5387480934030021,0.43735615979374326,0.1346400318990817,0.016652571494398027
"(0, 1, 2)","(1, 0, 0, 12)",61.38531709877752,72.07663243662515,0.5334728063914427,0.41216944830594765,0.6693059990871266,2.1509962871749263e-06
"(0, 1, 2)","(0, 0, 1, 12)",61.914206874671365,72.49177047123686,0.531543342906785,0.4108810479251945,0.725792854606282,5.092843577056836e-06
"(2, 1, 1)","(1, 0, 0, 12)",61.979145414010134,75.24894716479776,0.5463909484111784,0.43962531597651205,0.8140791096318395,3.0370264965951414e-05
"(1, 0, 0)","(1, 1, 1, 12)",62.65915301125385,72.87466057765602,0.5007628613157235,0.39698250163146315,0.32592955009815866,0.0001826978393332141
"(1, 1, 1)","(0, 0, 1, 12)",62.926958845885686,73.54280024651578,0.5272780845140426,0.4076647460189214,0.8507074480715767,7.448545357225931e-06
